first_name,last_name,id,petType,birthday
Janean,Grunwald,974,Grizzly bear,5/4/1965
Blythe,Alflat,975,Grizzly bear,3/16/1979
Jaquelin,Alan,976,"Tern, white-winged black",12/20/1978
Harcourt,Meeks,977,"Squirrel, smith's bush",3/31/1988
Siusan,Dalliston,978,Burmese brown mountain tortoise,4/26/1967
Leonore,Niave,979,Southern sea lion,1/23/1976
Miller,McGillivrie,980,Southern right whale,3/10/1985
Johnny,Alten,981,"Crane, stanley",3/12/1968
Hardy,Whyatt,982,Gulls (unidentified),12/6/1966
Raye,Abel,983,"Legaan, water",3/28/1991
Phineas,Jakubczyk,984,South American sea lion,8/19/1981
Kathe,Halvorsen,985,"Bustard, stanley",4/25/1994
Claire,Phillips,986,"Mongoose, javan gold-spotted",8/6/1999
Dorise,Hewell,987,Green-winged trumpeter,10/27/1968
Piggy,Pithie,988,Australian brush turkey,12/30/1977
Etti,Parkman,989,"Falcon, prairie",1/24/1995
Eba,Nockolds,990,Saddle-billed stork,1/3/1996
Rebecka,De Lascy,991,Common shelduck,11/26/1990
Phillida,Romanet,992,"Goldeneye, barrows",3/9/1998
Kerrill,Thomasen,993,Crab-eating fox,7/25/1989
Siegfried,Brithman,994,"Pheasant, ring-necked",4/28/1990
Alvy,Defries,995,Blue-tongued skink,11/15/1983
Cliff,Stockney,996,"Sungazer, yellow-brown",8/24/1977
Legra,Dyment,997,White-necked stork,5/28/1980
Lesley,Mateuszczyk,998,Oriental short-clawed otter,11/29/1967
Brian,Ohanessian,999,Black-capped chickadee,10/16/1982
Adey,Hearsey,1000,Common zorro,7/11/1972
